strategy,metric,mean_delta,ci_lo,ci_hi,p_value,n
learned_full_rerank,brier_score,0.009259,-0.002307,0.020825,0.117,1470
learned_full_rerank,nll_score,0.042429,0.007277,0.077581,0.0181,1470
learned_full_rerank,correct_top1,-0.006122,-0.016009,0.003764,0.225,1470
learned_full_rerank,correct_top3,-0.008163,-0.016797,0.000471,0.0641,1470
learned_full_rerank,total_atomic_questions,-0.031973,-0.082083,0.018137,0.211,1470
learned_full_rerank,new_questions,-0.031973,-0.082083,0.018137,0.211,1470
learned_full_rerank,verification_questions,0.0,0.0,0.0,1,1470
learned_full_rerank,correct_to_wrong_flips,-0.004762,-0.010256,0.000732,0.0896,1470
learned_full_rerank,wrong_to_correct_flips,-0.010204,-0.017612,-0.002796,0.00702,1470
learned_full_rerank,unnecessary_verifications,0.058503,0.043239,0.073767,1e-13,1470
learned_full_rerank,resolved_wrong_reports,-0.055782,-0.07048,-0.041085,1.72e-13,1470
learned_full_rerank,premature_stop,0.004082,-0.001573,0.009737,0.157,1470
learned_full_filter,brier_score,0.006021,-0.005824,0.017867,0.319,1470
learned_full_filter,nll_score,0.035305,-0.001593,0.072203,0.0609,1470
learned_full_filter,correct_top1,-0.002721,-0.012338,0.006896,0.579,1470
learned_full_filter,correct_top3,-0.009524,-0.017945,-0.001102,0.0268,1470
learned_full_filter,total_atomic_questions,-0.067347,-0.118282,-0.016412,0.00965,1470
learned_full_filter,new_questions,-0.019728,-0.068378,0.028922,0.427,1470
learned_full_filter,verification_questions,-0.047619,-0.058509,-0.036729,2.57e-17,1470
learned_full_filter,correct_to_wrong_flips,-0.005442,-0.011094,0.00021,0.0593,1470
learned_full_filter,wrong_to_correct_flips,-0.002721,-0.010497,0.005055,0.493,1470
learned_full_filter,unnecessary_verifications,-0.003401,-0.020944,0.014141,0.704,1470
learned_full_filter,resolved_wrong_reports,-0.040136,-0.053909,-0.026363,1.35e-08,1470
learned_full_filter,premature_stop,0.004762,-0.000732,0.010256,0.0896,1470
learned_norag_filter,brier_score,0.00064,-0.015276,0.016556,0.937,1470
learned_norag_filter,nll_score,0.044032,-0.002879,0.090944,0.066,1470
learned_norag_filter,correct_top1,0.00068,-0.012456,0.013817,0.919,1470
learned_norag_filter,correct_top3,-0.012245,-0.023226,-0.001264,0.029,1470
learned_norag_filter,total_atomic_questions,-0.084354,-0.146993,-0.021715,0.00839,1470
learned_norag_filter,new_questions,0.090476,0.031232,0.14972,0.00281,1470
learned_norag_filter,verification_questions,-0.17483,-0.194253,-0.155407,2.49e-63,1470
learned_norag_filter,correct_to_wrong_flips,-0.006122,-0.012784,0.000539,0.0718,1470
learned_norag_filter,wrong_to_correct_flips,-0.02449,-0.035417,-0.013563,1.2e-05,1470
learned_norag_filter,unnecessary_verifications,-0.072789,-0.095472,-0.050106,4.19e-10,1470
learned_norag_filter,resolved_wrong_reports,-0.090476,-0.108419,-0.072534,2.4e-22,1470
learned_norag_filter,premature_stop,0.002721,-0.004078,0.009521,0.433,1470
