subset,config,noise_rate,n_case_seed_pairs,top1_accuracy,top3_accuracy,brier_score_mean,nll_mean,posterior_margin_mean,ece_15bin,premature_stop_rate,uncertain_output_rate,new_questions_mean,verification_questions_mean,total_atomic_questions_mean,unnecessary_verification_rate,conflict_resolution_rate,retrieval_triggered_verifications,retrieval_triggered_hits,retrieval_triggered_cases,triggered_true_hit_rate,gate_open_but_asknew,gate_open_and_verify,ordinary_retrieves_mean,counterfactual_retrieves_mean,wall_clock_mean,stop_reason_counts
full_n20,rank_only_w0.0,0.0,2940,0.955782,0.980952,0.066466,0.188928,0.880363,0.04389,0.006122,0.014966,7.242857,0.039456,7.282313,0.956897,0.043103,0,0,0,0.0,0,0,8.172,45.182,7.2685,"{""confidence, marginal utility, and report-risk checks passed"": 2573, ""no positive-utility acquisition action or a reliability/safety check remains; return uncertainty"": 44, ""total_turn_budget"": 323}"
full_n20,rank_only_w0.0,0.1,2940,0.895238,0.946939,0.152125,0.425451,0.830063,0.024871,0.019728,0.014286,7.92449,0.258163,8.182653,0.770751,0.221344,0,0,0,0.0,0,0,8.998,61.15,5.4292,"{""confidence, marginal utility, and report-risk checks passed"": 2354, ""no positive-utility acquisition action or a reliability/safety check remains; return uncertainty"": 42, ""total_turn_budget"": 544}"
full_n20,rank_only_w0.0,0.2,2940,0.816327,0.89932,0.255073,0.749054,0.776846,0.023913,0.034694,0.015306,8.659184,0.42585,9.085034,0.676518,0.309105,0,0,0,0.0,0,0,9.826,71.672,8.0977,"{""confidence, marginal utility, and report-risk checks passed"": 2134, ""no positive-utility acquisition action or a reliability/safety check remains; return uncertainty"": 45, ""total_turn_budget"": 761}"
full_n20,rank_only_w0.0,0.3,2940,0.736395,0.840816,0.360544,1.080996,0.721676,0.047372,0.052381,0.012245,9.297619,0.522449,9.820068,0.589193,0.380208,0,0,0,0.0,0,0,10.482,79.289,9.3124,"{""confidence, marginal utility, and report-risk checks passed"": 1911, ""no positive-utility acquisition action or a reliability/safety check remains; return uncertainty"": 36, ""total_turn_budget"": 993}"
full_n20,rank_only_w1.0,0.0,2940,0.956122,0.980952,0.066494,0.189033,0.880211,0.044272,0.006122,0.014966,7.241837,0.043537,7.285374,0.960938,0.039062,0,0,0,0.0,0,0,8.176,45.018,0.2724,"{""confidence, marginal utility, and report-risk checks passed"": 2573, ""no positive-utility acquisition action or a reliability/safety check remains; return uncertainty"": 44, ""total_turn_budget"": 323}"
full_n20,rank_only_w1.0,0.1,2940,0.896259,0.948639,0.150796,0.420663,0.830926,0.024964,0.018707,0.014626,7.919048,0.307143,8.22619,0.746401,0.246955,0,0,0,0.0,0,0,9.04,59.112,4.6636,"{""confidence, marginal utility, and report-risk checks passed"": 2350, ""no positive-utility acquisition action or a reliability/safety check remains; return uncertainty"": 43, ""total_turn_budget"": 547}"
full_n20,rank_only_w1.0,0.2,2940,0.815306,0.89898,0.254175,0.738631,0.774407,0.022526,0.033673,0.016327,8.645918,0.5,9.145918,0.653061,0.327211,0,0,0,0.0,0,0,9.888,67.7,1.1502,"{""confidence, marginal utility, and report-risk checks passed"": 2133, ""no positive-utility acquisition action or a reliability/safety check remains; return uncertainty"": 48, ""total_turn_budget"": 759}"
full_n20,rank_only_w1.0,0.3,2940,0.736395,0.843197,0.361469,1.066875,0.720035,0.049901,0.05068,0.011905,9.271429,0.614626,9.886054,0.555064,0.412286,0,0,0,0.0,0,0,10.548,72.936,1.6797,"{""confidence, marginal utility, and report-risk checks passed"": 1911, ""no positive-utility acquisition action or a reliability/safety check remains; return uncertainty"": 35, ""total_turn_budget"": 994}"
full_n20,joint_gate_w1.0,0.0,2940,0.958844,0.980952,0.068602,0.195618,0.877147,0.050207,0.005442,0.014286,7.176871,0.197619,7.37449,0.870912,0.129088,471,72,471,0.152866,177,471,8.257,77.989,0.6783,"{""confidence, marginal utility, and report-risk checks passed"": 2552, ""no positive-utility acquisition action or a reliability/safety check remains; return uncertainty"": 42, ""total_turn_budget"": 346}"
full_n20,joint_gate_w1.0,0.1,2940,0.89966,0.95068,0.145659,0.405644,0.831424,0.029383,0.017007,0.014966,7.852721,0.408163,8.260884,0.718333,0.275,429,175,429,0.407925,158,429,9.075,79.412,0.957,"{""confidence, marginal utility, and report-risk checks passed"": 2350, ""no positive-utility acquisition action or a reliability/safety check remains; return uncertainty"": 44, ""total_turn_budget"": 546}"
full_n20,joint_gate_w1.0,0.2,2940,0.820068,0.902041,0.250347,0.726816,0.775302,0.023697,0.033333,0.015986,8.578231,0.559184,9.137415,0.636861,0.341849,375,201,375,0.536,144,375,9.882,80.184,5.0044,"{""confidence, marginal utility, and report-risk checks passed"": 2143, ""no positive-utility acquisition action or a reliability/safety check remains; return uncertainty"": 47, ""total_turn_budget"": 750}"
full_n20,joint_gate_w1.0,0.3,2940,0.738095,0.846259,0.357659,1.050158,0.717566,0.047159,0.04898,0.011565,9.244898,0.656803,9.901701,0.545831,0.417918,351,214,351,0.609687,146,351,10.56,81.607,1.1308,"{""confidence, marginal utility, and report-risk checks passed"": 1902, ""no positive-utility acquisition action or a reliability/safety check remains; return uncertainty"": 34, ""total_turn_budget"": 1004}"
