case_id,diagnosis,strategy,noise_rate,seed,turn_index,chosen_action,report_index,evidence_code,gain_hat,harm_hat,net_value,verification_cost,passed_gain_gate,passed_harm_gate,v_bayes_verify,heuristic_verify_utility,retrieval_impact,error_prob_times_impact,error_probability,diagnostic_influence,best_asknew_eig,best_asknew_v_bayes,selected,realized_correct_to_wrong,realized_wrong_to_correct
80212,Acute COPD exacerbation / infection,heuristic_verify,0.2,2027,2,new,1,E_201,,,,,,,,,,,0.261336,,,,0,,
80212,Acute COPD exacerbation / infection,heuristic_verify,0.2,2027,2,new,0,E_53,,,,,,,,,,,0.04804,,,,0,,
80212,Acute COPD exacerbation / infection,heuristic_verify,0.2,2027,3,new,1,E_201,,,,,,,,,,,0.261336,,,,0,,
80212,Acute COPD exacerbation / infection,heuristic_verify,0.2,2027,3,new,0,E_53,,,,,,,,,,,0.04804,,,,0,,
80212,Acute COPD exacerbation / infection,heuristic_verify,0.2,2027,4,verify,1,E_201,,,,,,,,,,,0.261336,,,,1,0,0
80212,Acute COPD exacerbation / infection,heuristic_verify,0.2,2027,4,verify,0,E_53,,,,,,,,,,,0.04804,,,,0,,
34898,Acute COPD exacerbation / infection,model_based_vbayes_verify,0.3,2026,1,new,0,E_53,,,,,,,-0.054206,0.102531,,,0.035128,0.457115,0.542015,0.148781,0,,
34898,Acute COPD exacerbation / infection,model_based_vbayes_verify,0.3,2026,2,new,0,E_53,,,,,,,-0.066294,0.142142,,,0.05342,0.557429,0.57073,0.165482,0,,
34898,Acute COPD exacerbation / infection,model_based_vbayes_verify,0.3,2026,2,new,1,E_124,,,,,,,-0.037805,0.068691,,,0.023645,0.354753,0.57073,0.165482,0,,
34898,Acute COPD exacerbation / infection,model_based_vbayes_verify,0.3,2026,3,new,0,E_53,,,,,,,-0.086709,0.125174,,,0.04534,0.516391,0.423115,0.095473,0,,
